id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
258570011,1.0372,English,qualified,72,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,North Carolina,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Somewhat important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Both,Republicans,Democrats,Republicans,Republicans,Both,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,An Independent,65+,"No, I am not willing to be interviewed"
258570012,.8512,English,qualified,55,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,South Carolina,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not important at all,Very important,Very important,Not so important,Not so important,Somewhat important,Somewhat important,Very important,Not so important,Republicans,Republicans,Neither,Republicans,Republicans,Republicans,Both,Republicans,Neither,Republicans,Neither,Would make no difference in your vote,Would not vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,An Independent,50-64,"No, I am not willing to be interviewed"
258570013,.6117,English,qualified,68,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Democrats,Both,Democrats,Democrats,Both,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,65+,"Yes, I am willing to be interviewed"
258570014,.9644,English,qualified,80,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Widowed,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Retired,Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Neither,Neither,Democrats,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
258570015,1.2243,English,qualified,58,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Self-employed,Working full-time,not parents of children 0-17 YO,No opinion,No opinion,Wrong direction,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570016,1.0977,English,qualified,70,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither,Neither,Neither,Neither,Republicans,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
258570017,.6477,English,qualified,75,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,65+,"Yes, I am willing to be interviewed"
258570018,.5523,English,qualified,74,Master’s degree or above,Bachelors degree or higher,Female,"Black, Non-Hispanic",2,"$150,000 or more",Widowed,Metro,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Republicans,Democrats,Democrats,Democrats,Democrats,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,65+,"No, I am not willing to be interviewed"
258570019,.8258,English,qualified,65,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Never married,Metro,South,Owned or being bought by you or someone in your household,South Carolina,Self-employed,Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,No religion, ,A Democrat,65+,"No, I am not willing to be interviewed"
258570020,.6477,English,qualified,71,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Oklahoma,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Not important at all,Not so important,Very important,Somewhat important,Not important at all,Very important,Somewhat important,Very important,Very important,Not important at all,Very important,Democrats,Democrats,Democrats,Democrats,Neither,Neither,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,65+,"Yes, I am willing to be interviewed"
258570021,.8746,English,qualified,66,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Kansas,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Not so important,Somewhat important,Somewhat important,Somewhat important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,Catholic,No,A Democrat,65+,"No, I am not willing to be interviewed"
258570022,1.0826,English,qualified,63,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$25,000 to $49,999",Divorced,Metro,West,Owned or being bought by you or someone in your household,California,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Neither,Both,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would not vote,Catholic,No,A Republican,50-64,"Yes, I am willing to be interviewed"
258570023,1.7261,English,qualified,25,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Never married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Homemaker,Not working,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Not so important,Somewhat important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Less likely to vote for the Republican candidate in that election,Would not vote,No religion, ,An Independent,18-29,"No, I am not willing to be interviewed"
258570024,1.0391,English,qualified,71,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,An Independent,65+,"No, I am not willing to be interviewed"
258570025,.9169,English,qualified,41,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Never married,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,Maine,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,No opinion,Wrong direction,Very important,Very important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important at all,Both,Republicans,Democrats,Democrats,Republicans,Democrats,Democrats,Democrats,Both,Democrats,Democrats,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Catholic,No,An Independent,30-49,"No, I am not willing to be interviewed"
258570026,.8534,English,qualified,71,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",5,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Democrats,Democrats,Democrats,Democrats,Neither,Neither,Democrats,Democrats,Democrats,Democrats,Democrats,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
258570027,.8617,English,qualified,57,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Neither,Republicans,Neither,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Neither,Less likely to vote for the Republican candidate in that election,Would make no difference in your vote,Catholic,No,An Independent,50-64,"Yes, I am willing to be interviewed"
258570028,1.4439,English,qualified,21,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$150,000 or more",Never married,Metro,West,Owned or being bought by you or someone in your household,Washington,Full Time Student,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Somewhat important,Very important,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Neither,Democrats,Democrats,Neither,Democrats,Democrats,Democrats,Neither,Neither,Neither,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,No religion, ,An Independent,18-29,"No, I am not willing to be interviewed"
258570029,.9018,English,qualified,68,No high school diploma or GED,Less than high school,Female,Hispanic,3,"$25,000 to $49,999",Now Married,Metro,NorthEast,Occupied without payment of cash rent,New York,Homemaker,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not so important,Somewhat important,Somewhat important,Very important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Both,Both,Republicans,Republicans,Would make no difference in your vote,Less likely to vote for the Democratic candidate in that election,Other Christian religion,No,A Republican,65+,"No, I am not willing to be interviewed"
258570030,.8925,English,qualified,67,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not important at all,Very important,Very important,Somewhat important,Not important at all,Somewhat important,Not important at all,Not important at all,Somewhat important,Republicans,Republicans,Neither,Republicans,Republicans,Neither,Neither,Neither,Neither,Neither,Republicans,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Republican,65+,"Yes, I am willing to be interviewed"
258570031,.8485,English,qualified,35,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Both,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Both,Both,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,A Democrat,30-49,"No, I am not willing to be interviewed"
258570032,.9208,English,qualified,53,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,A Republican,50-64,"Yes, I am willing to be interviewed"
258570033,.993,English,qualified,60,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Other,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Neither,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,No religion, ,An Independent,50-64,"Yes, I am willing to be interviewed"
258570034,1.0642,English,qualified,31,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,MidWest,Rented for cash,Indiana,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Not so important,Somewhat important,Very important,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Somewhat important,Not so important,Republicans,Republicans,Neither,Republicans,Neither,Republicans,Republicans,Neither,Republicans,Neither,Neither,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Catholic,No,A Republican,30-49,"No, I am not willing to be interviewed"
258570035,.8385,English,qualified,35,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important at all,Very important,Very important,Somewhat important,Not important at all,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,Other Christian religion,No,A Democrat,30-49,"No, I am not willing to be interviewed"
258570036,1.1241,English,qualified,51,No high school diploma or GED,Less than high school,Male,Hispanic,Six or more,"$100,000 to $149,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Self-employed,Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Not so important,Somewhat important,Very important,Very important,Very important,Republicans,Republicans,Neither,Both,Both,Republicans,Neither,Both,Neither,Republicans,Neither,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570037,.5882,English,qualified,75,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Widowed,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Retired,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Right direction,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Democrats,Democrats,Skipped,Democrats,Democrats,Both,Both,Neither,Both,Democrats,Democrats,Would not vote,More likely to vote for the Democratic candidate in that election,Catholic,No,A Democrat,65+,"No, I am not willing to be interviewed"
258570038,.6775,English,qualified,59,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,South,Rented for cash,North Carolina,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Both,Democrats,Democrats,Both,Neither,Neither,Democrats,Democrats,Both,Neither,Both,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Other Christian religion,No,A Democrat,50-64,"Yes, I am willing to be interviewed"
258570039,1.3559,English,qualified,28,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Never married,Metro,South,Owned or being bought by you or someone in your household,Maryland,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Somewhat important,Not important at all,Very important,Very important,Not important at all,Not so important,Somewhat important,Not important at all,Somewhat important,Somewhat important,Neither,Republicans,Neither,Neither,Republicans,Republicans,Neither,Republicans,Republicans,Republicans,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,An Independent,18-29,"No, I am not willing to be interviewed"
258570040,1.0113,English,qualified,66,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Oregon,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Republicans,Republicans,Democrats,Republicans,Republicans,Republicans,Democrats,Democrats,Republicans,Democrats,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
258570041,.8471,English,qualified,78,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",5,"$25,000 to $49,999",Widowed,Metro,West,Owned or being bought by you or someone in your household,Utah,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Neither,Neither,Neither,Neither,Neither,Both,Republicans,Neither,Democrats,Both,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Mormon,No,An Independent,65+,"No, I am not willing to be interviewed"
